AVVB1;AVVB2;AVVB3;AVVB4;AVVB5;AVVB6;AVVB7;AVVB8;AVVB9;AVVB10;AVVB11;AVVB12;AVVB13;AVVB14;AVVB15;AVVB16;AVVB17;AVVB18;AVVB19;AVVB20;AVVB21;AVVB22;AVVB23;AVVB24;AVVB25;AVVB26;AVVB27;AVVB28;AVVB29;AVVB30;AVVB31;AVVB32;AVVB33;AVVB34;AVVB35;AVVB35a;AVVB35b;AVVB36;AVVB37;AVVB38;AVVB39;AVVB40;AVVB41;AVVB42;AVVB43;AVVB44;AVVB45;AVVB46;AVVB47;AVVB48;AVVB49;AVVB50;AVVB51;AVVB52;AVVB53;AVVB54;AVVB55;AVVB56;AVVB57;AVVB58;AVVB59;AVVB60;AVVB61;AVVB62;AVVB63
1,712366953;0,797859855;0,760020925;0,710811049;0,671217324;0,764212129;0,944295104;0,852136261;0,812871949;0,745126922;0,845645384;0,728323777;0,89175899;0,63119267;0,560591699;0,572508559;0,566613318;0,602361825;0,636319282;0,741224731;0,565318458;0,479354227;0,437410072;0,419451911;0,396201397;0,555300382;0,455502898;0,459018703;0,549155492;0,496479533;0,389176003;0,533705217;0,866633518;0,754815586;0,78905066;0,661358775;0,724663984;0,510453667;0,584667817;0,519533229;0,418042067;0,587433638;0,581972435;0,724212336;0,436693237;0,555428832;0,690206194;0,538137784;0,549053975;0,644285263;0,530226704;0,625266353;0,654480476;0,635036852;0,542923588;0,657083664;0,595254595;0,631728224;0,703277033;0,800824567;0,629885379;0,59643758;0,728887301;1,030103951;0,549988346
0,797859855;1,762887228;1,136918543;1,146681791;1,222940783;0,827932729;0,577352373;0,962631364;1,143941866;0,912164955;0,898997778;0,83609035;0,9364959;0,839810225;0,729042684;0,693937463;0,725372531;0,69448752;0,705083622;0,73872306;0,692332872;0,709234427;0,525841789;0,612241093;0,600633964;0,75364814;0,468260899;0,426546711;0,601348727;0,652667671;0,544283709;0,662160552;0,579083342;0,78539501;0,72941146;0,838913146;0,828272501;0,535860901;0,691986886;0,573919439;0,561074423;0,684160749;0,767443065;0,624348556;0,666895598;0,619869374;0,925867686;0,639527428;0,663857337;0,655304007;0,595944497;0,657251477;0,715409357;0,6675047;0,73136411;0,741173972;0,691898835;0,739876004;0,735266301;0,799783499;0,765233515;0,678678828;0,761579937;0,706464461;0,563596812
0,760020925;1,136918543;1,530545758;1,180348162;1,147857524;0,814456858;0,60419224;0,988827944;1,122120878;0,888812924;0,807024359;0,763677611;0,851261971;0,792801612;0,645891926;0,650517167;0,670426941;0,631809024;0,629644017;0,663906024;0,635838629;0,639531571;0,504767676;0,503555687;0,586240295;0,641924473;0,439304712;0,438222208;0,564212129;0,616053162;0,569500339;0,631032107;0,568309068;0,719103335;0,730208058;0,806464979;0,766919941;0,547441097;0,665869033;0,589669085;0,553770375;0,672167234;0,771928462;0,560166985;0,704818435;0,6114331;0,80209353;0,614685789;0,628452745;0,62896551;0,558281668;0,635097969;0,725556919;0,606921806;0,645337725;0,648181239;0,610324699;0,635626272;0,654748771;0,742001647;0,71394979;0,62451119;0,672617845;0,706672675;0,549305696
0,710811049;1,146681791;1,180348162;1,562616861;1,310569687;0,743726401;0,526593844;0,91333758;1,077479269;0,928057554;0,864148422;0,869519503;0,891418183;0,865075542;0,691859471;0,714198404;0,747616162;0,693247562;0,670965603;0,721268342;0,675119516;0,693185408;0,586856649;0,56726282;0,673855732;0,710272387;0,513779905;0,47096146;0,654546773;0,720745218;0,652086538;0,707325284;0,509957477;0,720776295;0,714317531;0,842146153;0,771949179;0,550201739;0,70680734;0,574980189;0,549093339;0,678558665;0,771446773;0,54175407;0,712059294;0,637174925;0,865546871;0,692159879;0,685783986;0,587162236;0,602467486;0,586711624;0,718077806;0,616198186;0,725976454;0,620398713;0,616855975;0,644208607;0,63778092;0,746953193;0,700695599;0,603223685;0,69196306;0,64724376;0,510511677
0,671217324;1,222940783;1,147857524;1,310569687;2,281680832;0,905645074;0,502260826;0,912810313;1,225590586;1,199339103;0,896345904;1,18755173;1,002523424;1,190318587;1,094493735;1,054747735;1,093045564;1,036263344;0,926427066;0,904636118;1,035035816;1,180123374;0,82013249;0,851344842;0,99100331;1,08459893;0,68897763;0,553929901;0,883519534;1,153902968;1,049973326;1,085227714;0,499796448;1,008250851;0,732363742;1,183775917;0,964932072;0,61176562;0,819266487;0,655966976;0,741992324;0,779892371;0,871213181;0,728600359;1,051862786;0,842290142;1,220474333;0,977284004;0,947452492;0,669480139;0,739699903;0,667972922;0,846542464;0,762221152;1,024805382;0,833057269;0,827895437;0,866233665;0,821224316;0,891195467;0,854775704;0,714960818;0,812970358;0,726022033;0,648865961
0,764212129;0,827932729;0,814456858;0,743726401;0,905645074;1,68229356;0,841418442;0,837955467;0,909833688;0,589929093;0,727694993;0,772413257;1,159919926;0,97337249;0,687500971;0,729505726;0,72781153;0,688644592;0,712638874;0,83308472;0,787255984;0,725265317;0,501888424;0,710502872;0,534109214;0,707437678;0,429620192;0,388989543;0,484813877;0,619926866;0,528120743;0,640054695;0,81455216;0,905216216;0,876666615;0,855074558;0,843209493;0,584274179;0,691303717;0,63974341;0,605090355;0,70352979;0,711365249;0,770352357;0,559055477;0,620738485;0,770827312;0,564496481;0,668832709;0,753370004;0,599951313;0,804975372;0,785734782;0,799527635;0,76194457;0,852294752;0,794607683;0,904354875;0,923873601;0,870700416;0,84518545;0,751303407;0,77333468;0,725762025;0,683553719
0,944295104;0,577352373;0,60419224;0,526593844;0,502260826;0,841418442;1,685175402;0,770558499;0,7061625;0,481253011;0,730549901;0,509921221;0,888157724;0,560529546;0,419045325;0,457406861;0,446874466;0,492867909;0,54407187;0,654922282;0,398446685;0,430699069;0,386192126;0,413275427;0,24197834;0,426016854;0,333835739;0,316241176;0,382835848;0,32947206;0,171625982;0,331489452;1,042129579;0,773083477;0,845282305;0,544594994;0,641626655;0,442961398;0,502760642;0,480665144;0,354802119;0,529240538;0,52588426;0,697823599;0,395336431;0,535802891;0,464481978;0,407433017;0,435813768;0,662877905;0,454496014;0,700094784;0,612976573;0,670090278;0,49146169;0,657664797;0,556445556;0,638917807;0,691445116;0,711385967;0,661269688;0,577334245;0,692566465;0,776341346;0,480377685
0,852136261;0,962631364;0,988827944;0,91333758;0,912810313;0,837955467;0,770558499;1,861605834;1,553208405;1,015003807;1,08588136;0,773064831;0,971922764;0,776134168;0,712408907;0,621520581;0,627145972;0,61965132;0,668858088;0,760468947;0,608779672;0,554015362;0,339366865;0,415305768;0,370822133;0,50745736;0,31605368;0,333889605;0,487165343;0,483314946;0,372972637;0,490011447;0,661443718;0,619300672;0,672400827;0,708707677;0,702745104;0,51565797;0,618375106;0,508756364;0,491682334;0,623909339;0,722319768;0,605628499;0,39031548;0,490583257;0,723669531;0,479373391;0,468992236;0,611273055;0,51840411;0,630444759;0,613066696;0,640823324;0,562630328;0,674392322;0,605208965;0,680108872;0,783161635;0,973657359;0,681403214;0,659835501;0,694612345;0,756293799;0,476527288
0,812871949;1,143941866;1,122120878;1,077479269;1,225590586;0,909833688;0,7061625;1,553208405;2,064186232;1,261712013;1,189759208;1,048013425;1,076166281;1,067420793;1,012417712;0,919910292;0,924305048;0,886054871;0,902442625;0,948855602;0,913200325;0,914117086;0,543222441;0,676012969;0,641826064;0,810937427;0,468257791;0,438294721;0,664716607;0,769279177;0,697758856;0,799581501;0,611650636;0,877278307;0,753813364;1,03127088;0,919949138;0,595433804;0,826449855;0,647344759;0,739505156;0,79058999;0,850169109;0,758008712;0,712572059;0,689891284;1,083917315;0,704717436;0,765578466;0,710865433;0,638557836;0,743690145;0,81090894;0,772840043;0,863459556;0,841384776;0,839419177;0,890353808;0,928523704;1,119603669;0,895116304;0,815852717;0,861975646;0,848635994;0,641846782
0,745126922;0,912164955;0,888812924;0,928057554;1,199339103;0,589929093;0,481253011;1,015003807;1,261712013;2,425358547;1,249486458;1,349002181;0,92099176;1,252720502;0,947356154;0,996088486;0,935824645;1,052595159;0,878841462;0,954146402;0,869688353;0,782424082;0,560292328;0,644907832;0,722646073;0,872038784;0,517987683;0,523839417;0,696769582;0,831646389;0,84169865;0,872621989;0,454158315;0,716839919;0,674859508;0,924691953;0,810969022;0,512680827;0,777135872;0,582582573;0,556473007;0,658319478;0,613515235;0,644376421;0,663107354;0,641764947;1,078731658;0,787020319;0,831545908;0,505300123;0,580032216;0,522837713;0,645623631;0,535700338;0,684436295;0,656353362;0,670568858;0,690639195;0,732556417;0,977541941;0,685331303;0,560922148;0,669059569;0,766858824;0,578770504
